"","Station","minStart","maxEnd","Year","lcc_habitats","discrete_classification","color","description","hab_code"
"48","MLJ_ST4",2021-10-30,2021-11-25,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"49","MLJ_ST14",2021-10-31,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"50","MLJ_ST2",2021-10-29,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"51","MLJ_ST12",2021-10-31,2021-12-16,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"52","MLJ_ST15",2021-11-01,2021-11-25,2021,"herbaceous_wetland",90,"0096A0","Herbaceous wetland. Lands with a permanent mixture of water and herbaceous or woody vegetation. The vegetation can be present in either salt, brackish, or fresh water.","herbaceous_wetland"
"53","MLJ_ST8",2021-10-30,2021-11-25,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"54","MLJ_ST10",2021-11-29,2021-12-15,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"55","MLJ_ST7",2021-11-01,2021-11-22,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"56","MLJ_ST11",2021-11-29,2021-12-15,2021,"open_forest_evergreen_broad",122,"8DB400","Open forest, evergreen broad leaf. Top layer- trees 15-70 % and second layer- mixed of shrubs and grassland, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","open_forest_evergreen_broad"
"57","MLJ_ST5",2021-11-25,2021-12-11,2021,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"58","CL-ST10",2022-04-04,2022-12-16,2022,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"59","CL-ST7",2022-04-04,2022-06-12,2022,"open_forest_other",126,"648C00","Open forest, not matching any of the other definitions.","open_forest_other"
"60","CL-ST4",2022-04-04,2022-12-16,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"61","CL-ST2",2022-04-04,2022-08-02,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"62","CL-ST6",2022-04-04,2022-08-02,2022,"open_forest_other",126,"648C00","Open forest, not matching any of the other definitions.","open_forest_other"
"63","CL-ST11",2022-04-05,2022-08-02,2022,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"64","CL-ST8",2022-04-05,2022-12-16,2022,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"65","CL-ST14",2022-04-05,2022-05-15,2022,"open_forest_other",126,"648C00","Open forest, not matching any of the other definitions.","open_forest_other"
"66","CL-ST19",2022-04-05,2022-12-16,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"67","CL-ST21",2022-04-05,2022-12-16,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"68","CL-ST24",2022-04-05,2022-12-15,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"69","CL-ST22",2022-04-05,2022-08-02,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"70","CL-ST17",2022-04-06,2022-05-15,2022,"herbs",30,"FFFF4C","Herbaceous vegetation. Plants without persistent stem or shoots above ground and lacking definite firm structure. Tree and shrub cover is less than 10 %.","herbs"
"71","CL-ST13",2022-11-22,2022-12-16,2022,"open_forest_other",126,"648C00","Open forest, not matching any of the other definitions.","open_forest_other"
"72","CL-ST12",2022-11-22,2022-12-16,2022,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"73","CL-ST16",2022-11-23,2022-12-16,2022,"open_forest_other",126,"648C00","Open forest, not matching any of the other definitions.","open_forest_other"
"74","PCFT-ST6",2019-03-31,2019-12-15,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"75","PCFT-ST8",2019-04-01,2019-12-15,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"76","PCFT-ST7",2019-04-02,2019-12-16,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"77","PCFT-ST12",2019-04-04,2019-06-05,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"78","PCFT-ST5",2019-04-10,2019-12-18,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"79","PCFT-ST10",2019-04-10,2019-06-06,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"80","PCFT-ST11",2019-04-11,2019-06-06,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"81","PCFT_ST6",2019-03-31,2019-12-15,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"82","PCFT_ST8",2019-04-01,2019-12-15,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"83","PCFT_ST7",2019-04-02,2019-12-16,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"84","PCFT_ST9",2019-04-05,2019-12-17,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"85","PCFT_ST5",2019-04-10,2019-12-18,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"86","PCFT_ST4",2019-05-27,2019-12-19,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"87","PCFT_ST2",2019-05-30,2019-12-20,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"88","PCFT_ST3",2019-06-05,2019-12-20,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
"89","PCFT_ST1",2019-06-05,2019-12-20,2019,"closed_forest_evergreen_broad",112,"9900","Closed forest, evergreen broad leaf. Tree canopy >70 %, almost all broadleaf trees remain green year round. Canopy is never without green foliage.","closed_forest_evergreen_broad"
